Individual{TOC=13135.005207545335, NV=54}
Individual{TOC=13473.424288240863, NV=44}
Individual{TOC=14680.66681904523, NV=35}
Individual{TOC=13152.284468822922, NV=49}
Individual{TOC=13633.629482108274, NV=40}
Individual{TOC=13998.53662029807, NV=38}
Individual{TOC=13463.423603953892, NV=45}
Individual{TOC=13329.528731617285, NV=47}
Individual{TOC=14918.375265806579, NV=33}
Individual{TOC=14348.685750861665, NV=36}
Individual{TOC=14804.571820279663, NV=34}
Individual{TOC=13608.254739274016, NV=42}
Individual{TOC=13424.53446476358, NV=46}
Individual{TOC=13219.11854411122, NV=48}
runTime = 1809731.541317ms
