Individual{TOC=4476.5359509650025, NV=31}
Individual{TOC=5256.36744579575, NV=13}
Individual{TOC=4774.617104015148, NV=16}
Individual{TOC=5677.642158912785, NV=12}
Individual{TOC=4409.0781764541225, NV=32}
Individual{TOC=5145.534809292479, NV=14}
Individual{TOC=4407.80825887567, NV=33}
Individual{TOC=4699.2631684012695, NV=18}
Individual{TOC=4764.547221006707, NV=17}
Individual{TOC=7199.731365808195, NV=11}
Individual{TOC=4521.631377921325, NV=27}
Individual{TOC=4546.660207412184, NV=25}
Individual{TOC=4573.716287042761, NV=23}
runTime = 1987288.686306ms
