Individual{TOC=5892.176648635512, NV=25}
Individual{TOC=5751.189315119102, NV=29}
Individual{TOC=5753.58134620363, NV=28}
Individual{TOC=6292.027801663151, NV=23}
Individual{TOC=6840.682770829947, NV=18}
Individual{TOC=5788.777045963524, NV=26}
Individual{TOC=6076.003518753896, NV=24}
Individual{TOC=6693.879504963059, NV=19}
Individual{TOC=6645.558858851646, NV=20}
Individual{TOC=7671.25139710878, NV=16}
Individual{TOC=6383.750589169274, NV=21}
Individual{TOC=6876.0455257104395, NV=17}
runTime = 661341.887914ms
