Individual{TOC=19201.64704715215, NV=35}
Individual{TOC=18812.536082938845, NV=38}
Individual{TOC=20149.729648200577, NV=33}
Individual{TOC=19593.160843489946, NV=34}
Individual{TOC=16292.707432022442, NV=53}
Individual{TOC=18594.10615592621, NV=41}
Individual{TOC=15856.009389492581, NV=57}
Individual{TOC=16070.157251062263, NV=56}
Individual{TOC=17259.511712041505, NV=46}
Individual{TOC=17977.12127099676, NV=43}
Individual{TOC=19172.555078743953, NV=37}
Individual{TOC=21554.35797563825, NV=32}
Individual{TOC=15813.99654598394, NV=60}
Individual{TOC=16119.738237598229, NV=54}
Individual{TOC=16363.987113499506, NV=50}
Individual{TOC=16777.51091892538, NV=47}
Individual{TOC=18422.222925641512, NV=42}
runTime = 2373349.925945ms
