Individual{TOC=14801.940001476823, NV=40}
Individual{TOC=14653.806755832016, NV=43}
Individual{TOC=13404.701039791062, NV=60}
Individual{TOC=13836.842406658956, NV=52}
Individual{TOC=13967.712441879248, NV=49}
Individual{TOC=15361.968795840154, NV=38}
Individual{TOC=13535.233303758429, NV=55}
Individual{TOC=13939.810495386319, NV=50}
Individual{TOC=14087.594829464235, NV=48}
Individual{TOC=14125.252143793454, NV=46}
Individual{TOC=14637.536198785758, NV=44}
Individual{TOC=14784.86703126455, NV=41}
Individual{TOC=15055.283043771016, NV=39}
Individual{TOC=14783.035282746538, NV=42}
Individual{TOC=13712.378622029692, NV=54}
Individual{TOC=14264.82015775437, NV=45}
runTime = 1476155.699895ms
