Individual{TOC=17462.984642876214, NV=44}
Individual{TOC=17170.928952584436, NV=45}
Individual{TOC=17712.22711482681, NV=39}
Individual{TOC=17795.319992321532, NV=38}
Individual{TOC=16362.663563653608, NV=50}
Individual{TOC=17873.210419451512, NV=37}
Individual{TOC=19999.527601000245, NV=35}
Individual{TOC=21032.252796970628, NV=34}
Individual{TOC=18592.242664529706, NV=36}
Individual{TOC=23560.49636393317, NV=33}
Individual{TOC=25155.836461876414, NV=30}
Individual{TOC=25263.089978186064, NV=29}
Individual{TOC=17617.667585144336, NV=43}
Individual{TOC=23900.386292874337, NV=32}
Individual{TOC=25108.699441424786, NV=31}
runTime = 1973087.295075ms
