Individual{TOC=14398.61593653588, NV=37}
Individual{TOC=14577.478422518, NV=33}
Individual{TOC=14450.347545245657, NV=36}
Individual{TOC=16514.451847807002, NV=30}
Individual{TOC=14190.716119667262, NV=44}
Individual{TOC=14918.996634872088, NV=31}
Individual{TOC=13736.90032622349, NV=55}
Individual{TOC=13775.457085252927, NV=48}
Individual{TOC=13977.869566380015, NV=45}
Individual{TOC=14196.418501431, NV=43}
Individual{TOC=14268.846536549292, NV=38}
Individual{TOC=14225.406743588414, NV=40}
Individual{TOC=14549.892798606803, NV=35}
Individual{TOC=14569.351852120846, NV=34}
runTime = 1825075.213158ms
